,0,VelocityXSmooth,VelocityYSmooth,VelocityZSmooth,zSymbol
0,,0.0004289037336318699,-0.6531469258499429,-0.017312787961159672,191.0
1,,0.0003684753514961864,-0.8464658941000885,-0.1665981711304384,191.0
2,,0.017095636820379612,-1.674725801279347,-0.3538756954649792,191.0
3,,0.011444876944100141,-1.5918697525171417,-0.5038028039586471,191.0
4,,0.0004988397997020684,-1.3547565240291397,-0.39240768436860507,191.0
5,,-0.00951937110093295,-0.5701086789092452,-0.06012812511918664,191.0
6,,-0.0026157299987130352,-0.30906632311988674,-0.008564714715276091,191.0
7,,0.006406127508060774,-0.3073188163126295,0.02674636580785333,191.0
8,,0.013073670809646748,-0.12214563310751488,0.053702220311872335,63.0
9,,0.029205461734179018,-0.07722598096044392,0.03991877398886269,63.0
10,,0.013611615441546557,-0.026416819428383583,-0.035430366297547755,63.0
11,,-0.006196489425355056,0.008574891119468497,-0.050593280589026464,63.0
12,,-0.01070970997352661,0.009728131689579568,-0.07097776288103466,63.0
13,,0.003098471319400777,0.020357627353627752,-0.060085509098811475,62.0
14,,0.03135108897917927,-0.00937654815461663,-0.04219287472314109,62.0
15,,0.12471967865449013,-0.09397741712437853,0.02164439209591775,62.0
16,,0.12099779706423824,-0.26125082185622034,0.04167108737498111,126.0
17,,0.1464385563592875,-0.2803849352088873,-0.03747871372066632,126.0
18,,0.09875291930501212,-0.35984417536817626,-0.0978781824968399,126.0
19,,0.0907228577686048,-0.34390332001551643,-0.14567980444100687,126.0
20,,0.02252508897729204,-0.3263135342414335,-0.14737598445941125,126.0
21,,0.02127533895677205,-0.3796018632381396,-0.10028647204447563,126.0
22,,0.045923438683444964,-0.2851900156699431,-0.10791227811247593,126.0
23,,0.09260833242659072,-0.3849859495581951,-0.16812180204205393,62.0
24,,0.11088245815241607,-0.4289950435039936,-0.3410331357754437,62.0
25,,0.0804341536247927,-0.4273530226803111,-0.2542783917352828,62.0
26,,0.07652542775915419,-0.5576506706988016,-0.3468554530895539,62.0
27,,0.010053543547399629,-0.4114021007436831,-0.3404834118854403,62.0
28,,-0.012447691475494252,-0.568869010417781,-0.33424810002425914,126.0
29,,-0.035200600411769,-0.3831583093951873,-0.27532702931747394,126.0
30,,-0.08223300241821106,-0.3006735354630036,-0.208064816133398,126.0
31,,-0.10643952070292788,-0.2554356362682025,-0.14124421770763415,126.0
32,,-0.1598384756816934,-0.13729042333430735,-0.13090981525653106,127.0
33,,-0.16891203959720286,-0.2390642561470362,-0.24041936691229335,127.0
34,,-0.105202604533324,-0.32309736039686754,-0.2670232557944067,127.0
35,,-0.001972879364229483,-0.5473512008103948,-0.17173340994769015,63.0
36,,0.0752217220681879,-0.4453241691828168,-0.0767385447655255,63.0
37,,0.10383617801535194,-0.3638082435487914,-0.10606364536942793,63.0
38,,0.13788106374314038,-0.2892455183108141,-0.11806176740357392,63.0
39,,0.1334799489404124,-0.19868628482976705,-0.16016411338959147,63.0
40,,0.07198996486059006,-0.3110242233824688,-0.20325172714392126,63.0
41,,0.050923848582269664,-0.5002670913695899,-0.21250182529944014,63.0
42,,-0.010646064994126323,-0.38979360643774624,-0.23616859881719496,127.0
43,,-0.05735459212342724,-0.0953998035417809,0.04473807108799339,127.0
44,,-0.06590093913336778,-0.02333582613370073,0.15766361290071326,127.0
45,,-0.02220007137612141,0.013768386947959763,0.11118998290763044,127.0
46,,-0.009296161136035428,0.07349294722772826,0.09657288265598928,127.0
47,,-0.01598238813769741,0.09499621356649672,0.14130548418594313,127.0
48,,-0.03061958758244122,0.13618604666930684,0.12334914192742052,127.0
49,,-0.038794000801207484,0.08708040018936297,0.060566555188862586,127.0
50,,-0.04779393138081249,0.024926106721026808,0.04237548752967757,127.0
51,,-0.06133226911533201,-0.13825833572618584,-0.09514097778581536,127.0
52,,-0.09268828287283097,-0.2907067584008946,-0.19932882340188268,127.0
